SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.9999999,30,0,0.185120094,1706.0,0,4,0,0,3.0
1,0.9999999,46,0,0.0,0.0,0,2,0,0,3.0
0,0.04035632,37,0,1831.0,,5,0,1,0,0.0
0,0.61992051,75,0,0.29973822,4583.0,14,0,0,0,0.0
0,0.021357062,58,0,0.551773387,4200.0,30,0,1,0,1.0
0,0.010272708,57,0,0.09252218,4733.0,10,0,0,0,2.0
0,0.0,56,0,0.0,,3,0,0,0,0.0
0,0.26746507,24,0,4.0,,1,0,0,0,0.0
1,1.035602748,34,3,1.531609195,695.0,8,0,0,2,0.0
1,0.9999999,29,0,0.0,2500.0,0,0,0,0,0.0
0,0.057131429,54,0,0.209074993,6853.0,3,0,1,0,1.0
0,0.024684904,43,0,0.555375122,6157.0,8,0,2,0,0.0
0,0.013923169,60,1,2092.0,,3,0,2,0,
0,0.00259987,44,0,0.000402901,2481.0,7,0,0,0,0.0
0,0.509880916,51,0,0.277620397,6000.0,11,0,0,0,0.0
1,0.288460179,38,2,0.313230414,6930.0,15,0,2,1,1.0
0,0.119371104,40,0,0.651175708,5400.0,11,0,2,0,0.0
0,0.9999999,23,0,0.003322259,300.0,1,0,0,0,0.0
0,0.001872261,73,1,0.184357542,3400.0,6,0,0,0,0.0
0,0.712341071,34,0,0.11607434,9200.0,4,0,0,0,0.0
0,0.026827109,67,0,0.09631728,6000.0,18,0,1,0,1.0
0,0.309066201,27,0,0.257673091,1400.0,11,0,0,0,0.0
0,0.035318906,66,0,0.118724345,3166.0,10,0,0,0,0.0
0,0.004795755,46,0,613.0,,16,0,0,0,2.0
1,0.0,82,0,0.0,,10,0,0,1,0.0
0,0.032786348,52,0,0.550595952,12500.0,12,0,2,0,0.0
1,0.331263805,29,1,0.271887374,2272.0,7,0,0,0,1.0
0,0.002038383,40,0,1477.0,0.0,7,0,2,0,2.0
0,0.011450082,46,0,0.001665973,2400.0,2,0,0,0,2.0
1,0.958627823,53,1,0.501597444,1251.0,4,0,0,0,0.0
0,0.412115846,39,0,0.397257449,9698.0,8,0,2,0,3.0
1,0.440622694,52,0,0.292886402,20017.0,12,1,4,0,2.0
1,0.66551411,42,1,1.001565558,5109.0,17,0,1,0,1.0
0,0.054698878,61,0,0.370301796,5400.0,10,0,2,0,0.0
0,0.555345375,67,0,8.055393586,1028.0,31,0,2,0,0.0
0,0.001551671,69,0,0.000279018,3583.0,10,0,0,0,0.0
0,0.202675392,60,0,5315.0,,11,0,3,0,0.0
0,0.0,79,0,1.86838391,2833.0,6,0,1,0,0.0
1,0.64676911,35,0,0.127047061,5800.0,5,1,1,2,2.0
1,0.871409767,53,1,0.758483563,11315.0,31,0,4,0,0.0
0,0.0,30,0,0.641474079,1600.0,6,0,1,0,0.0
0,0.24355129,54,0,1.276699029,1853.0,9,0,2,0,3.0
0,0.9999999,49,0,4148.0,,3,0,1,0,0.0
1,0.990223955,35,0,0.710989328,3466.0,6,0,1,0,2.0
0,0.227174717,65,0,0.896990954,5416.0,15,0,4,0,0.0
0,0.00968561,48,0,0.336895388,5333.0,9,0,2,0,2.0
1,0.507475124,65,3,0.063045685,9849.0,8,0,0,0,0.0
0,0.112473542,49,0,0.172153635,2915.0,4,0,0,0,1.0
0,0.0,37,0,0.0,5400.0,1,0,0,0,2.0
0,0.265361383,55,2,0.271572843,10000.0,10,0,1,0,0.0
0,0.0,42,0,0.0,3660.0,1,0,0,0,0.0
0,0.068688961,49,0,0.195951586,9583.0,9,0,1,0,0.0
0,0.00147612,49,0,2940.0,,5,0,2,0,0.0
0,0.058992118,38,0,0.212844287,7333.0,5,0,2,0,2.0
1,0.897563143,49,0,1.599818512,2203.0,11,0,2,0,4.0
0,0.056911034,21,0,0.070929071,1000.0,5,0,0,0,0.0
1,0.807268156,50,0,0.482764335,6033.0,8,1,1,0,2.0
0,0.083152424,31,0,0.146588486,1875.0,7,0,0,0,0.0
0,0.033066116,55,0,0.194150487,12000.0,3,0,1,0,2.0
0,0.766946087,45,0,0.058761249,17000.0,6,0,0,0,3.0
0,0.640718563,33,0,0.352733686,1700.0,3,0,0,0,3.0
0,0.026159198,74,0,41.0,,3,0,0,0,0.0
1,0.958849319,50,2,0.361106482,6000.0,8,0,1,1,1.0
0,0.07005636,36,0,34.0,,5,0,0,0,0.0
0,0.022936981,56,1,0.143985953,6833.0,28,0,1,0,1.0
0,0.287670737,42,1,0.39310115,6000.0,9,0,2,0,1.0
1,0.906616612,28,0,0.103958417,2500.0,3,1,0,1,0.0
0,0.011223345,42,0,0.081639454,3000.0,4,0,0,0,0.0
0,0.218356179,53,0,0.180142006,8731.0,9,0,0,0,3.0
0,0.017659776,82,0,1183.0,,8,0,1,0,
0,0.371759468,54,0,0.703895145,10833.0,14,0,2,0,2.0
1,0.791357616,43,0,3701.0,,7,0,1,0,0.0
0,0.332981846,62,0,1298.0,,6,0,1,0,0.0
0,0.119962668,62,0,1.006767149,3250.0,6,0,3,0,0.0
0,0.014566947,37,0,855.0,,14,0,0,0,0.0
0,0.021236566,67,1,0.208191126,2050.0,11,0,0,0,0.0
0,0.417579278,32,0,0.331043098,3201.0,4,0,1,0,0.0
0,0.02937194,68,0,0.003331945,2400.0,3,0,0,0,0.0
0,0.050814547,69,0,0.017107309,4500.0,5,0,0,0,0.0
1,0.9999999,30,0,0.0,2000.0,0,0,0,0,0.0
0,0.9999999,52,0,0.236947791,12449.0,8,0,1,0,0.0
